DH_demand,LH_demand
0.678456982,0.678895829
0.713892663,0.71435443
0.695970309,0.696420484
0.678047955,0.678486537
0.620107076,0.62050818
0.548826688,0.549181686
0.557583352,0.557944014
0.561893512,0.562256962
0.597329192,0.597715563
0.614978861,0.615376649
0.650414542,0.65083525
0.681403719,0.681844472
0.74796492,0.748448726
0.850098142,0.850648012
0.916659343,0.917252266
0.849825458,0.850375151
0.782991573,0.783498036
0.680585665,0.681025889
0.649323803,0.649743806
0.613615438,0.614012343
0.595693084,0.596078397
0.582217234,0.582593829
0.5954204,0.595805536
0.626409577,0.626814758
0.612933726,0.613330191
0.648369407,0.648788792
0.634893556,0.635304224
0.612524699,0.612920899
0.559030323,0.559391921
0.456624415,0.456919774
0.465381079,0.465682101
0.469691239,0.46999505
0.500680417,0.501004272
0.518330086,0.518665357
0.54487276,0.545225201
0.575861938,0.576234423
0.633530132,0.633939919
0.72677035,0.727240447
0.784438544,0.784945943
0.726497665,0.726967586
0.664110283,0.66453985
0.575043884,0.57541584
0.543782022,0.544133756
0.516966662,0.517301052
0.499044309,0.499367106
0.485568458,0.485882538
0.498771624,0.499094245
0.525314299,0.525654088
0.516284951,0.516618899
0.542827625,0.543178743
0.533798277,0.534143554
0.515875924,0.516209608
0.46682805,0.467130009
0.386654657,0.386904757
0.390964817,0.391217705
0.395274978,0.395530654
0.421817652,0.422090497
0.439467321,0.439751582
0.466009996,0.466311425
0.492552671,0.492871269
0.545774362,0.546127386
0.625675071,0.626079777
0.678896763,0.679335894
0.625402386,0.625806916
0.57190801,0.572277938
0.491734617,0.492052686
0.464919257,0.465219981
0.438103898,0.438387277
0.420181544,0.42045333
0.411152196,0.411418142
0.419908859,0.420180469
0.446451534,0.446740313
0.437422186,0.437705124
0.463964861,0.464264967
0.45048901,0.4507804
0.437013159,0.437295833
0.392411788,0.392665612
0.307791892,0.307990981
0.312102053,0.31230393
0.316412213,0.316616878
0.338508385,0.338727343
0.351711551,0.351939049
0.378254226,0.378498892
0.400350398,0.400609357
0.449125587,0.449416095
0.52013329,0.520469728
0.564461976,0.564827087
0.519860605,0.520196867
0.470812731,0.471117267
0.399532344,0.399790773
0.377163487,0.377407448
0.350348128,0.350574744
0.336872277,0.337090176
0.327842929,0.328054988
0.336599592,0.336817315
0.358695764,0.358927779
0.349666416,0.349892591
0.376209091,0.376452434
0.36273324,0.362967867
0.349257389,0.349483299
0.313549024,0.313751837
0.344538201,0.344761059
0.348848362,0.349074008
0.357605025,0.357836335
0.379701197,0.379946799
0.397350866,0.397607885
0.423893541,0.424167728
0.445989713,0.446278192
0.499211404,0.49953431
0.57466561,0.575037321
0.623440799,0.62384406
0.574392926,0.57476446
0.520898549,0.521235482
0.445171659,0.445459609
0.422802802,0.423076284
0.395987443,0.396243579
0.378065089,0.378309633
0.369035741,0.369274445
0.377792404,0.378036772
0.404335079,0.404596615
0.395305731,0.395561427
0.421848406,0.42212127
0.408372555,0.408636703
0.394896704,0.395152135
0.354741836,0.354971294
0.279014946,0.279195421
0.283325106,0.283508369
0.287635267,0.287821318
0.309731438,0.309931782
0.322934605,0.323143489
0.345030776,0.345253953
0.367126948,0.367364417
0.415902137,0.416171155
0.482463337,0.482775409
0.526792023,0.527132768
0.482190653,0.482502548
0.437589282,0.437872328
0.366308894,0.366545834
0.343940038,0.344162509
0.321571181,0.321779183
0.30809533,0.308294616
0.299065982,0.299259427
0.307822646,0.308021755
0.329918817,0.330132219
0.320889469,0.321097031
0.342985641,0.343207495
0.333956293,0.334172306
0.320480442,0.320687739
0.284772077,0.284956277
0.284635735,0.284819846
0.288945896,0.289132795
0.293256056,0.293445743
0.315352228,0.315556207
0.328555394,0.328767914
0.350651566,0.350878378
0.372747738,0.372988842
0.421522927,0.42179558
0.488084127,0.488399834
0.536859316,0.537206573
0.487811442,0.488126973
0.443210071,0.443496753
0.371929684,0.372170259
0.349560827,0.349786934
0.327191971,0.327403608
0.31371612,0.313919041
0.304686772,0.304883852
0.313443435,0.31364618
0.335539607,0.335756644
0.326510259,0.326721456
0.348606431,0.34883192
0.339577083,0.339796732
0.326101232,0.326312164
0.290392867,0.290580702
0.316935541,0.317140545
0.321245702,0.321453493
0.325555862,0.325766442
0.352098537,0.352326285
0.365301703,0.365537992
0.391844378,0.392097835
0.41394055,0.414208299
0.462715739,0.463015037
0.538169945,0.538518049
0.586945133,0.587324787
0.53789726,0.538245188
0.488849386,0.489165589
0.413122496,0.413389716
0.390753639,0.391006391
0.36393828,0.364173686
0.350462429,0.350689119
0.341433081,0.34165393
0.350189744,0.350416258
0.372285916,0.372526722
0.363256568,0.363491534
0.389799243,0.390051377
0.380769895,0.381016188
0.362847541,0.363082242
0.322692673,0.322901401
0.291430811,0.291619317
0.295740972,0.295932266
0.300051132,0.300245214
0.326593807,0.326805058
0.339796973,0.340016764
0.361893145,0.362127228
0.388435819,0.388687072
0.432764505,0.433044431
0.503772208,0.504098064
0.552547397,0.552904802
0.503499524,0.503825203
0.458898153,0.459194982
0.387617765,0.387868488
0.360802406,0.361035784
0.338433549,0.338652459
0.324957699,0.325167891
0.315928351,0.316132703
0.324685014,0.32489503
0.346781186,0.347005494
0.337751838,0.337970306
0.35984801,0.36008077
0.350818662,0.351045582
0.337342811,0.337561014
0.297187943,0.297380173
0.297051601,0.297243743
0.301361761,0.301556691
0.305671922,0.305869639
0.332214596,0.332429483
0.345417762,0.345641189
0.367513934,0.367751653
0.394056609,0.394311497
0.442831798,0.443118235
0.513839501,0.514171868
0.56261469,0.562978606
0.513566816,0.513899007
0.464518943,0.464819408
0.393238555,0.393492913
0.366423195,0.366660209
0.344054339,0.344276884
